,loss,val_loss,acc,val_acc
0,0.3230401277542114,0.2558286786079407,0.8479999899864197,0.875
1,0.16481003165245056,0.4880955219268799,0.9380000233650208,0.8125
2,0.12590469419956207,0.4178992807865143,0.9580000042915344,0.8125
3,0.09743866324424744,0.08174929022789001,0.9629999995231628,1.0
4,0.12272819131612778,0.1450844556093216,0.9578313231468201,0.9375
5,0.11359899491071701,0.10699902474880219,0.9589999914169312,1.0
6,0.11080494523048401,0.4704766869544983,0.9638554453849792,0.8125
7,0.07798949629068375,0.20433831214904785,0.9739999771118164,0.875
8,0.124899722635746,0.45462149381637573,0.9528112411499023,0.75
9,0.13520818948745728,0.16175562143325806,0.9480000138282776,0.9375
